Open,High,Low,Close,Volume,Market Cap
4.29,4.36,3.52,3.8,,65604596
3.78,4.04,3.01,3.37,,58287979
3.39,3.45,2.4,3.04,,52694847
3.03,3.64,2.9,3.48,,60290868
3.49,3.69,3.35,3.59,,62298185
3.59,3.78,3.12,3.37,,58594361
3.37,3.41,2.94,3.33,,58051265
3.28,3.49,3.28,3.41,,59508216
3.4,3.44,3.29,3.42,,59755569
3.41,3.63,3.37,3.44,,60358927
3.46,3.48,3.3,3.35,,58809513
3.36,3.42,3.22,3.27,,57513320
3.26,3.37,3.2,3.28,,57790879
3.28,3.33,2.78,2.82,,49847568
2.82,3.04,2.64,2.94,,51891652
2.93,2.97,2.69,2.92,,51685880
2.89,3.34,2.87,3.19,,56498074
3.2,3.36,3.13,3.29,,58518794
3.3,3.41,3.19,3.3,,58760676
3.31,3.32,3.15,3.18,,56682749
3.19,3.22,3.04,3.09,,55073034
3.09,3.14,3.03,3.12,,55766901
3.12,3.19,3.09,3.18,,56949220
3.17,3.19,3.04,3.18,,57017469
3.19,3.2,3.05,3.12,,56026343
3.12,3.33,3.09,3.25,,58457958
3.23,3.26,3.02,3.1,,55882132
3.1,3.13,3.02,3.09,,55813732
3.09,3.12,3.02,3.1,,55971819
3.08,3.09,2.88,2.97,,53812628
2.97,2.99,2.69,2.96,,53635813
2.94,2.97,2.8,2.83,,51354548
2.83,2.86,2.56,2.73,,49625823
2.73,2.75,2.61,2.73,,49674160
2.7,2.9,2.7,2.87,,52324427
2.87,2.99,2.81,2.86,,52331672
2.88,2.91,2.74,2.75,,50432630
2.78,2.79,2.51,2.6,,47740051
2.6,2.66,2.54,2.56,,47088868
2.55,2.59,2.07,2.38,,43858290
2.38,2.58,2.26,2.49,,45853397
2.49,2.5,2.18,2.4,,44270317
2.41,2.45,2.31,2.38,,44101286
2.4,2.49,2.23,2.27,,42056098
2.27,2.29,2.09,2.13,,39610213
2.14,2.21,2.05,2.11,,39124633
2.09,2.15,2.02,2.13,,39617093
2.14,2.29,2.09,2.28,,42440640
2.28,2.37,2.19,2.31,,43109745
2.3,2.34,2.25,2.3,,43008862
2.3,2.4,2.27,2.29,,42832831
2.33,2.87,2.27,2.87,,53781211
2.86,3.58,2.66,2.92,,54938149
2.9,3.34,2.9,3.12,,58663905
3.13,3.15,2.71,2.87,,54188144
2.85,2.91,2.77,2.82,,53299726
2.81,2.95,2.75,2.86,,54085900
2.88,3.03,2.84,3.02,,57201138
3.04,3.04,2.67,2.75,,52128119
2.76,2.93,2.7,2.79,,53106259
2.79,3.0,2.77,2.98,,56721476
3.01,3.3,2.88,2.95,,56208962
2.95,3.03,2.81,2.83,,54124596
2.85,3.03,2.61,2.62,,50009684
2.68,2.78,2.49,2.73,,52211620
2.71,2.72,2.33,2.43,,46634397
2.42,2.62,2.37,2.52,,48334783
2.46,2.66,2.38,2.66,,51099904
2.71,2.74,2.49,2.61,,50274076
2.58,2.65,2.48,2.61,,50428048
2.61,2.81,2.58,2.81,,54334217
2.84,2.87,2.64,2.73,,52775604
2.72,2.91,2.7,2.79,,54066041
2.81,2.91,2.67,2.9,,56290499
2.93,2.97,2.78,2.91,,56527604
2.87,3.06,2.85,2.98,,58072017
3.0,3.18,2.95,3.1,,60436315
3.08,3.17,3.06,3.15,,61435019
3.15,3.15,2.76,2.89,,56474377
